 ______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________ 
|    Username / Q#->   |  1  |  b1 |  2  |  3  |  4  |  5  |  6  |  7  |  8  |  9  |  10 |  11 |  12 |  13 |  14 |  15 |  16 |  17 |  18 |  19 |  20 |  21 |  22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 | Last 35  |  Total   |
|       slawcool       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |   1/1    |   1/1    |
|        smrn23        |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |   1/1    |   1/1    |
|    SnooBananas3355   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |   1/1    |   1/1    |
|    Spallanzani333    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |     |     |     |     |     |   0/1    |   0/1    |
|     Spinobreaker     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |     |     |   0/1    |   0/1    |
| Succ_Semper_Tyrannis |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |  B  |     |     |     |     |     |   2/2    |   2/2    |
|      supernerd2k     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|     SuperNinja74     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |   0/1    |   0/1    |
|  TheodoraRoosevelt21 |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|        tomksfw       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |  B  |     |     |   1/2    |   1/2    |
|         tonei        |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |   1/1    |   1/1    |
|     Vault14Hunter    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |     |     |   0/1    |   0/1    |
| whatnameisntusedalre |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |     |   0/2    |   0/2    |
|     Windowpain43     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |   1/1    |   1/1    |
|      yossi_peti      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |  D  |     |     |     |   1/2    |   1/2    |
| ____-__________-____ |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|        Total:        | 1/1 | 1/1 | 9/10| 1/1 | 6/8 | 1/1 | 3/5 | 0/1 | 4/5 | 1/1 | 4/5 | 1/1 | 4/4 | 1/1 | 2/4 | 0/1 | 8/9 | 0/1 | 9/9 | 0/1 |10/10| 0/1 | 0/8 | 3/8 | 1/6 | 1/1 | 1/6 |11/14|13/16|14/14|17/18|12/21|16/18|11/20|11/14| 172/240  | 172/240  |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|

